"OID","Objective Name","Status","SDID","SD Name"
"O-000475","30 seconds","Active","SD-000516","With visual"
"O-000476","30 seconds","Active","SD-000515","With gesture"
"O-000477","30 seconds","Active","SD-000505","Wait w visual"
"O-000478","30 seconds","Active","SD-000412","Reinforcing item"
"O-000479","30 seconds","Active","SD-000283","No item"
"O-000480","30 seconds","Active","SD-000037","Brushing teeth"
"O-000481","30 seconds","Active","SD-000457","Ta"
"O-000482","30 seconds - medium preferred item","Active","SD-000457","Ta"
"O-000483","30 seconds - non preferred item","Active","SD-000457","Ta"
"O-000484","30 seconds - preferred item","Active","SD-000457","Ta"
"O-000485","30 seconds - reintro","Active","SD-000473","Tolerance"
"O-000486","30cm","Active","SD-000003","2 items"
"O-000487","30sec","Active","SD-000296","Parent leaves (inside)"
"O-000488","30sec","Active","SD-000225","In Sight"
"O-000489","30sec Hand/Arm","Active","SD-000467","Tolerance"
"O-000490","3cm strip .5cm line","Active","SD-000064","Cutting on line"
"O-000491","3cm strip 1cm line","Active","SD-000064","Cutting on line"
"O-000492","3cm strip 2cm line","Active","SD-000064","Cutting on line"
"O-000493","3D item","Active","SD-000325","Present item"
"O-000494","3m","Active","SD-000029","Between 2 people"
"O-000495","3m","Active","SD-000003","2 items"
"O-000496","3m","Active","SD-000001","1 person"
"O-000497","3m","Active","SD-000238","Item"
